director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres,comb
Doug Liman,Matt Damon,Josh Hamilton,Nicky Naudé,the bourne identity,Action Mystery Thriller,Matt Damon Josh Hamilton Nicky Naudé Doug Liman the bourne identity
Martin Campbell,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,goldeneye,Action Adventure Thriller,Izabella Scorupco Joe Don Baker Tchéky Karyo Martin Campbell goldeneye
Simon West,Daniel von Bargen,Timothy Hutton,Clarence Williams III,the general's daughter,Drama Mystery Thriller,Daniel von Bargen Timothy Hutton Clarence Williams III Simon West the general's daughter
Peter Weir,Natascha McElhone,Noah Emmerich,Peter Krause,the truman show,Comedy Drama Sci-Fi,Natascha McElhone Noah Emmerich Peter Krause Peter Weir the truman show
Brenda Chapman,Martin Short,Aria Noelle Curzon,Eden Riegel,the prince of egypt,Adventure Animation Biography Drama Family Fantasy Musical,Martin Short Aria Noelle Curzon Eden Riegel Brenda Chapman the prince of egypt
Steve Carr,Anjelica Huston,Lisa Edelstein,Jeff Garlin,daddy day care,Comedy Family,Anjelica Huston Lisa Edelstein Jeff Garlin Steve Carr daddy day care
Baltasar Kormákur,Denzel Washington,Patrick Fischler,Fred Ward,2 guns,Action Comedy Crime Drama Thriller,Denzel Washington Patrick Fischler Fred Ward Baltasar Kormákur 2 guns
Lawrence Guterman,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,cats & dogs,Action Comedy Family Fantasy,Carol Ann Susi Elizabeth Perkins Miriam Margolyes Lawrence Guterman cats & dogs
F. Gary Gray,Jason Statham,Charlize Theron,Jimmy Shubert,the italian job,Action Crime Thriller,Jason Statham Charlize Theron Jimmy Shubert F. Gary Gray the italian job
Marc Lawrence,Dorian Missick,Alicia Witt,Dana Ivey,two weeks notice,Comedy Romance,Dorian Missick Alicia Witt Dana Ivey Marc Lawrence two weeks notice
Eric Darnell,Sylvester Stallone,Woody Allen,Anne Bancroft,antz,Adventure Animation Comedy Family,Sylvester Stallone Woody Allen Anne Bancroft Eric Darnell antz
Peter Billingsley,Jon Favreau,Kristin Davis,Tasha Smith,couples retreat,Comedy,Jon Favreau Kristin Davis Tasha Smith Peter Billingsley couples retreat
Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid,days of thunder,Action Drama Sport,Tom Cruise Robert Duvall Randy Quaid Tony Scott days of thunder
Adam Shankman,Taylor Lautner,Tom Welling,Alyson Stoner,cheaper by the dozen 2,Adventure Comedy Family,Taylor Lautner Tom Welling Alyson Stoner Adam Shankman cheaper by the dozen 2
Wes Ball,Ki Hong Lee,Lili Taylor,Rosa Salazar,the scorch trials,Action Sci-Fi Thriller,Ki Hong Lee Lili Taylor Rosa Salazar Wes Ball the scorch trials
Ryan Murphy,James Franco,Julia Roberts,Billy Crudup,eat pray love,Drama Romance,James Franco Julia Roberts Billy Crudup Ryan Murphy eat pray love
Brett Ratner,Nicolas Cage,Don Cheadle,Amber Valletta,the family man,Comedy Drama Fantasy Romance,Nicolas Cage Don Cheadle Amber Valletta Brett Ratner the family man
Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming,red,Action Comedy Crime Thriller,Bruce Willis Morgan Freeman Jaqueline Fleming Robert Schwentke red
Oliver Stone,Al Pacino,Dennis Quaid,LL Cool J,any given sunday,Drama Sport,Al Pacino Dennis Quaid LL Cool J Oliver Stone any given sunday
Robert Redford,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,the horse whisperer,Drama Romance Western,Scarlett Johansson Kristin Scott Thomas Jessalyn Gilsig Robert Redford the horse whisperer
Michael Mann,Tom Cruise,Jada Pinkett Smith,Debi Mazar,collateral,Crime Drama Thriller,Tom Cruise Jada Pinkett Smith Debi Mazar Michael Mann collateral
Chuck Russell,Dwayne Johnson,Roger Rees,Bernard Hill,the scorpion king,Action Adventure Fantasy Thriller,Dwayne Johnson Roger Rees Bernard Hill Chuck Russell the scorpion king
Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett,ladder 49,Action Drama Thriller,Billy Burke Jay Hernandez Jacinda Barrett Jay Russell ladder 49
Renny Harlin,LL Cool J,Michael Rapaport,Saffron Burrows,deep blue sea,Action Sci-Fi Thriller,LL Cool J Michael Rapaport Saffron Burrows Renny Harlin deep blue sea
Kenny Ortega,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,this is it,Documentary Music,Misha Gabriel Hamilton Mekia Cox Judith Hill Kenny Ortega this is it
Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Griffin Kane,contagion,Drama Thriller,Matt Damon Monique Gabriela Curnen Griffin Kane Steven Soderbergh contagion
David McNally,Estella Warren,Dyan Cannon,Bill Hunter,kangaroo jack,Action Adventure Comedy Crime,Estella Warren Dyan Cannon Bill Hunter David McNally kangaroo jack
Henry Selick,Jennifer Saunders,Dawn French,John Hodgman,coraline,Animation Family Fantasy,Jennifer Saunders Dawn French John Hodgman Henry Selick coraline
M. Night Shyamalan,Zooey Deschanel,Alan Ruck,Kristen Connolly,the happening,Sci-Fi Thriller,Zooey Deschanel Alan Ruck Kristen Connolly M. Night Shyamalan the happening
Tony Scott,Denzel Washington,Radha Mitchell,Giancarlo Giannini,man on fire,Action Crime Drama Thriller,Denzel Washington Radha Mitchell Giancarlo Giannini Tony Scott man on fire
Brian Robbins,Robert Downey Jr.,Joel David Moore,Kristin Davis,the shaggy dog,Comedy Family Fantasy,Robert Downey Jr. Joel David Moore Kristin Davis Brian Robbins the shaggy dog
Todd Phillips,Snoop Dogg,Carmen Electra,Fred Williamson,starsky & hutch,Comedy Crime,Snoop Dogg Carmen Electra Fred Williamson Todd Phillips starsky & hutch
Brian Levant,Jim Belushi,Harvey Korman,Jake Lloyd,jingle all the way,Comedy Family,Jim Belushi Harvey Korman Jake Lloyd Brian Levant jingle all the way
Guillermo del Toro,James Babson,Rupert Evans,Brian Steele,hellboy,Action Fantasy Horror Sci-Fi,James Babson Rupert Evans Brian Steele Guillermo del Toro hellboy
Steven Zaillian,Robert Duvall,Kathleen Quinlan,Sydney Pollack,a civil action,Drama,Robert Duvall Kathleen Quinlan Sydney Pollack Steven Zaillian a civil action
Chris Butler,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,paranorman,Adventure Animation Comedy Family Fantasy,Anna Kendrick Kodi Smit-McPhee Elaine Stritch Chris Butler paranorman
Michael Caton-Jones,J.K. Simmons,Bruce Willis,Sophie Okonedo,the jackal,Action Adventure Crime Thriller,J.K. Simmons Bruce Willis Sophie Okonedo Michael Caton-Jones the jackal
John Woo,Ivana Milicevic,Joe Morton,Callum Rennie,paycheck,Action Mystery Sci-Fi Thriller,Ivana Milicevic Joe Morton Callum Rennie John Woo paycheck
Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,up close & personal,Drama Romance,Joe Mantegna Stockard Channing Raymond Cruz Jon Avnet up close & personal
Sam Fell,Emma Watson,Matthew Broderick,Frank Langella,the tale of despereaux,Adventure Animation Comedy Family Fantasy,Emma Watson Matthew Broderick Frank Langella Sam Fell the tale of despereaux
unknown,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,rules of engagement            ,Comedy Romance,Bianca Kajlich Oliver Hudson Adhir Kalyan unknown rules of engagement            
Kevin Donovan,Romany Malco,Debi Mazar,Ritchie Coster,the tuxedo,Action Comedy Sci-Fi,Romany Malco Debi Mazar Ritchie Coster Kevin Donovan the tuxedo
Geoff Murphy,Peter Greene,Brenda Bakke,Patrick Kilpatrick,under siege 2: dark territory,Action Thriller,Peter Greene Brenda Bakke Patrick Kilpatrick Geoff Murphy under siege 2: dark territory
Kenneth Branagh,Colm Feore,Nonso Anozie,Gemma Chan,jack ryan: shadow recruit,Action Drama Thriller,Colm Feore Nonso Anozie Gemma Chan Kenneth Branagh jack ryan: shadow recruit
David O. Russell,Jennifer Lawrence,Robert De Niro,Bradley Cooper,joy,Biography Comedy Drama,Jennifer Lawrence Robert De Niro Bradley Cooper David O. Russell joy
Babak Najafi,Gerard Butler,Radha Mitchell,Julian Kostov,london has fallen,Action Crime Drama Thriller,Gerard Butler Radha Mitchell Julian Kostov Babak Najafi london has fallen
Jean-Pierre Jeunet,Gary Dourdan,Michael Wincott,Raymond Cruz,alien: resurrection,Action Horror Sci-Fi,Gary Dourdan Michael Wincott Raymond Cruz Jean-Pierre Jeunet alien: resurrection
Antoine Fuqua,Tate Donovan,Ned Beatty,Louis Ferreira,shooter,Action Crime Drama Mystery Thriller,Tate Donovan Ned Beatty Louis Ferreira Antoine Fuqua shooter
Graham Annable,Isaac Hempstead Wright,Dee Bradley Baker,Tracy Morgan,the boxtrolls,Adventure Animation Comedy Family Fantasy,Isaac Hempstead Wright Dee Bradley Baker Tracy Morgan Graham Annable the boxtrolls
Griffin Dunne,Goran Visnjic,Dianne Wiest,Stockard Channing,practical magic,Comedy Drama Fantasy Romance,Goran Visnjic Dianne Wiest Stockard Channing Griffin Dunne practical magic
Phil Lord,Morgan Freeman,Will Ferrell,Alison Brie,the lego movie,Action Adventure Animation Comedy Family Fantasy,Morgan Freeman Will Ferrell Alison Brie Phil Lord the lego movie
John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,miss congeniality 2: armed and fabulous,Action Comedy Crime,Eileen Brennan Diedrich Bader Treat Williams John Pasquin miss congeniality 2: armed and fabulous
Rob Bowman,Christian Bale,Gerard Butler,Matthew McConaughey,reign of fire,Action Adventure Fantasy Sci-Fi Thriller,Christian Bale Gerard Butler Matthew McConaughey Rob Bowman reign of fire
Ruben Fleischer,Ryan Gosling,Brandon Molale,Wade Williams,gangster squad,Action Crime Drama Thriller,Ryan Gosling Brandon Molale Wade Williams Ruben Fleischer gangster squad
Harold Ramis,Olivia Wilde,Oliver Platt,Xander Berkeley,year one,Adventure Comedy,Olivia Wilde Oliver Platt Xander Berkeley Harold Ramis year one
Clint Eastwood,Matt Damon,Morgan Freeman,Leleti Khumalo,invictus,Biography Drama History Sport,Matt Damon Morgan Freeman Leleti Khumalo Clint Eastwood invictus
Kevin Macdonald,Robin Wright,Harry Lennix,Michael Weston,state of play,Crime Drama Mystery Thriller,Robin Wright Harry Lennix Michael Weston Kevin Macdonald state of play
Tony Gilroy,Julia Roberts,Tom Wilkinson,Denis O'Hare,duplicity,Comedy Crime Romance Thriller,Julia Roberts Tom Wilkinson Denis O'Hare Tony Gilroy duplicity
Donald Petrie,Steven Anthony Lawrence,Ray Walston,Michael Lerner,my favorite martian,Comedy Family Sci-Fi,Steven Anthony Lawrence Ray Walston Michael Lerner Donald Petrie my favorite martian
Clark Johnson,Blair Brown,David Rasche,Martin Donovan,the sentinel,Action Crime Thriller,Blair Brown David Rasche Martin Donovan Clark Johnson the sentinel
Jorge Blanco,Dwayne Johnson,Gary Oldman,James Corden,planet 51,Adventure Animation Comedy Family Sci-Fi,Dwayne Johnson Gary Oldman James Corden Jorge Blanco planet 51
Stuart Baird,Tom Hardy,LeVar Burton,Jonathan Frakes,star trek: nemesis,Action Adventure Sci-Fi Thriller,Tom Hardy LeVar Burton Jonathan Frakes Stuart Baird star trek: nemesis
Joel Coen,Cedric the Entertainer,Paul Adelstein,Julia Duffy,intolerable cruelty,Comedy Crime Romance,Cedric the Entertainer Paul Adelstein Julia Duffy Joel Coen intolerable cruelty
Robert Lorenz,Clint Eastwood,Ed Lauter,Bob Gunton,trouble with the curve,Drama Sport,Clint Eastwood Ed Lauter Bob Gunton Robert Lorenz trouble with the curve
Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,edge of darkness,Crime Drama Mystery Thriller,Bojana Novakovic Ray Winstone Denis O'Hare Martin Campbell edge of darkness
Peter Hyams,John Kapelos,Penelope Ann Miller,Chi Muoi Lo,the relic,Horror Mystery Sci-Fi Thriller,John Kapelos Penelope Ann Miller Chi Muoi Lo Peter Hyams the relic
Harold Ramis,Robert De Niro,Cathy Moriarty,Joe Viterelli,analyze that,Comedy Crime,Robert De Niro Cathy Moriarty Joe Viterelli Harold Ramis analyze that
Jon Avnet,Robert De Niro,Al Pacino,50 Cent,righteous kill,Action Crime Drama Mystery Thriller,Robert De Niro Al Pacino 50 Cent Jon Avnet righteous kill
Joe Wright,Robert Downey Jr.,Stephen Root,Rachael Harris,the soloist,Biography Drama Music,Robert Downey Jr. Stephen Root Rachael Harris Joe Wright the soloist
Robert Redford,Matt Damon,Will Smith,Charlize Theron,the legend of bagger vance,Drama Fantasy Sport,Matt Damon Will Smith Charlize Theron Robert Redford the legend of bagger vance
Cameron Crowe,Philip Seymour Hoffman,Zooey Deschanel,Michael Angarano,almost famous,Adventure Comedy Drama Music,Philip Seymour Hoffman Zooey Deschanel Michael Angarano Cameron Crowe almost famous
Tim Hill,Bill Murray,Roger Rees,Ben Falcone,garfield 2,Animation Comedy Family Fantasy,Bill Murray Roger Rees Ben Falcone Tim Hill garfield 2
Lee Tamahori,Sunny Mabrey,Nona Gaye,Xzibit,xxx: state of the union,Action Adventure Crime Thriller,Sunny Mabrey Nona Gaye Xzibit Lee Tamahori xxx: state of the union
Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,priest,Action Fantasy Horror Sci-Fi Thriller,Josh Wingate Alan Dale Jacob Hopkins Scott Stewart priest
Patrick Gilmore,Brad Pitt,Adriano Giannini,Timothy West,sinbad: legend of the seven seas,Adventure Animation Comedy Drama Family Fantasy Romance,Brad Pitt Adriano Giannini Timothy West Patrick Gilmore sinbad: legend of the seven seas
Paul W.S. Anderson,Sean Pertwee,Joely Richardson,Kathleen Quinlan,event horizon,Horror Sci-Fi Thriller,Sean Pertwee Joely Richardson Kathleen Quinlan Paul W.S. Anderson event horizon
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,the avengers,Action Adventure Sci-Fi,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon the avengers
Tom Shadyac,Joe Morton,Susanna Thompson,Matt Craven,dragonfly,Drama Fantasy Mystery Romance Thriller,Joe Morton Susanna Thompson Matt Craven Tom Shadyac dragonfly
Brian De Palma,Scarlett Johansson,Mia Kirshner,Mike Starr,the black dahlia,Crime Drama Mystery Thriller,Scarlett Johansson Mia Kirshner Mike Starr Brian De Palma the black dahlia
Tony Bill,James Franco,Tyler Labine,Philip Winchester,flyboys,Action Adventure Drama History Romance War,James Franco Tyler Labine Philip Winchester Tony Bill flyboys
Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,the last castle,Action Drama Thriller,Clifton Collins Jr. Delroy Lindo Michael Irby Rod Lurie the last castle
Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall,supernova,Horror Sci-Fi Thriller,Robert Forster Wilson Cruz Vanessa Marshall Walter Hill supernova
Akiva Goldsman,Matt Bomer,William Hurt,Kevin Corrigan,winter's tale,Drama Fantasy Mystery Romance,Matt Bomer William Hurt Kevin Corrigan Akiva Goldsman winter's tale
Harald Zwart,Aidan Turner,Kevin Zegers,CCH Pounder,the mortal instruments: city of bones,Fantasy Horror Mystery Romance,Aidan Turner Kevin Zegers CCH Pounder Harald Zwart the mortal instruments: city of bones
Brian Robbins,Marc Blucas,Mike O'Malley,Shawn Christian,meet dave,Adventure Comedy Family Romance Sci-Fi,Marc Blucas Mike O'Malley Shawn Christian Brian Robbins meet dave
Walter Salles,Dougray Scott,Camryn Manheim,Ariel Gade,dark water,Drama Horror Thriller,Dougray Scott Camryn Manheim Ariel Gade Walter Salles dark water
Ron Howard,Matthew McConaughey,Adam Goldberg,Clint Howard,edtv,Comedy Drama,Matthew McConaughey Adam Goldberg Clint Howard Ron Howard edtv
Iain Softley,Brendan Fraser,Stephen Graham,Jamie Foreman,inkheart,Adventure Family Fantasy,Brendan Fraser Stephen Graham Jamie Foreman Iain Softley inkheart
Frank Miller,Scarlett Johansson,Jaime King,Louis Lombardi,the spirit,Action Crime Fantasy Thriller,Scarlett Johansson Jaime King Louis Lombardi Frank Miller the spirit
David Koepp,Johnny Depp,Olivia Munn,Ulrich Thomsen,mortdecai,Action Comedy Mystery Romance,Johnny Depp Olivia Munn Ulrich Thomsen David Koepp mortdecai
Uwe Boll,Jason Statham,Mike Dopud,Tania Saulnier,in the name of the king: a dungeon siege tale,Action Adventure Fantasy Thriller,Jason Statham Mike Dopud Tania Saulnier Uwe Boll in the name of the king: a dungeon siege tale
Martin Campbell,Angelina Jolie Pitt,Teri Polo,Noah Emmerich,beyond borders,Adventure Drama Romance War,Angelina Jolie Pitt Teri Polo Noah Emmerich Martin Campbell beyond borders
Pou-Soi Cheang,Li Gong,Aaron Kwok,Eddie Peng,xi you ji zhi: sun wukong san da baigu jing,Action Adventure Fantasy,Li Gong Aaron Kwok Eddie Peng Pou-Soi Cheang xi you ji zhi: sun wukong san da baigu jing
John Dahl,James Franco,Clayne Crawford,Paolo Montalban,the great raid,Action Drama War,James Franco Clayne Crawford Paolo Montalban John Dahl the great raid
Tim Miller,Ryan Reynolds,Ed Skrein,Stefan Kapicic,deadpool,Action Adventure Comedy Romance Sci-Fi,Ryan Reynolds Ed Skrein Stefan Kapicic Tim Miller deadpool
Stephen Herek,Kelly Preston,Morgan Fairchild,Eric McCormack,holy man,Comedy Drama,Kelly Preston Morgan Fairchild Eric McCormack Stephen Herek holy man
Clint Eastwood,Bradley Cooper,Leonard Roberts,Keir O'Donnell,american sniper,Action Biography Drama History Thriller War,Bradley Cooper Leonard Roberts Keir O'Donnell Clint Eastwood american sniper
unknown,Nate Richert,Soleil Moon Frye,Caroline Rhea,"sabrina, the teenage witch            ",Comedy Family Fantasy,"Nate Richert Soleil Moon Frye Caroline Rhea unknown sabrina, the teenage witch            "
Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,just like heaven,Comedy Fantasy Romance,Jon Heder Ivana Milicevic Willie Garson Mark Waters just like heaven
Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,the flintstones in viva rock vegas,Comedy Family Romance Sci-Fi,Taylor Negron Mark Addy Danny Woodburn Brian Levant the flintstones in viva rock vegas
Peter MacDonald,Sylvester Stallone,Kurtwood Smith,Richard Crenna,rambo iii,Action Adventure Thriller War,Sylvester Stallone Kurtwood Smith Richard Crenna Peter MacDonald rambo iii
George Clooney,Robert Baker,Malcolm Goodwin,Matt Bushell,leatherheads,Comedy Drama Romance Sport,Robert Baker Malcolm Goodwin Matt Bushell George Clooney leatherheads
Frank Coraci,Taylor Lautner,Adam Sandler,Jon Lovitz,the ridiculous 6,Comedy Western,Taylor Lautner Adam Sandler Jon Lovitz Frank Coraci the ridiculous 6
Marc Lawrence,Michael Kelly,Kim Shaw,Kevin Brown,did you hear about the morgans?,Comedy Drama Romance,Michael Kelly Kim Shaw Kevin Brown Marc Lawrence did you hear about the morgans?
Shawn Levy,Josh Gad,Jessica Szohr,Rob Riggle,the internship,Comedy,Josh Gad Jessica Szohr Rob Riggle Shawn Levy the internship
Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,resident evil: afterlife,Action Adventure Horror Sci-Fi,Milla Jovovich Boris Kodjoe Shawn Roberts Paul W.S. Anderson resident evil: afterlife
Anthony Hemingway,David Oyelowo,Nate Parker,Tristan Mack Wilds,red tails,Action Adventure Drama History War,David Oyelowo Nate Parker Tristan Mack Wilds Anthony Hemingway red tails
unknown,Chris Noth,Kristin Davis,Cynthia Nixon,sex and the city            ,Comedy Romance,Chris Noth Kristin Davis Cynthia Nixon unknown sex and the city            
Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,the devil's advocate,Drama Mystery Thriller,Keanu Reeves Al Pacino Charlize Theron Taylor Hackford the devil's advocate
Sean Anders,Adam Sandler,Leighton Meester,Will Forte,that's my boy,Comedy,Adam Sandler Leighton Meester Will Forte Sean Anders that's my boy
Rob Cohen,Dennis Quaid,Brian Thompson,Terry O'Neill,dragonheart,Action Adventure Fantasy,Dennis Quaid Brian Thompson Terry O'Neill Rob Cohen dragonheart
Brett Ratner,Salma Hayek,Don Cheadle,Chris Penn,after the sunset,Action Comedy Crime Drama,Salma Hayek Don Cheadle Chris Penn Brett Ratner after the sunset
Mark Neveldine,Nicolas Cage,Spencer Wilding,Christopher Lambert,ghost rider: spirit of vengeance,Action Fantasy Thriller,Nicolas Cage Spencer Wilding Christopher Lambert Mark Neveldine ghost rider: spirit of vengeance
John Madden,Christian Bale,Irene Papas,Mihalis Giannatos,captain corelli's mandolin,Drama Music Romance War,Christian Bale Irene Papas Mihalis Giannatos John Madden captain corelli's mandolin
unknown,Barry Corbin,Noureen DeWulf,Brian Austin Green,anger management            ,Comedy Romance,Barry Corbin Noureen DeWulf Brian Austin Green unknown anger management            
Adam Shankman,Vin Diesel,Brad Garrett,Tate Donovan,the pacifier,Action Comedy Drama Family Thriller,Vin Diesel Brad Garrett Tate Donovan Adam Shankman the pacifier
Kevin Bray,Dwayne Johnson,Ashley Scott,Michael Bowen,walking tall,Action Crime,Dwayne Johnson Ashley Scott Michael Bowen Kevin Bray walking tall
Robert Zemeckis,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson,forrest gump,Comedy Drama,Tom Hanks Siobhan Fallon Hogan Sam Anderson Robert Zemeckis forrest gump
Tim Hill,Jesse McCartney,Beth Riesgraf,Matthew Gray Gubler,alvin and the chipmunks,Animation Comedy Family Fantasy Music,Jesse McCartney Beth Riesgraf Matthew Gray Gubler Tim Hill alvin and the chipmunks
Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,meet the parents,Comedy,Robert De Niro Blythe Danner Teri Polo Jay Roach meet the parents
Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,pocahontas,Adventure Animation Drama Family History Musical Romance,Christian Bale Frank Welker Irene Bedard Mike Gabriel pocahontas
Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,superman,Action Adventure Drama Romance Sci-Fi,Marlon Brando Margot Kidder Ned Beatty Richard Donner superman
Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle,the nutty professor,Comedy Romance Sci-Fi,Jada Pinkett Smith James Coburn Dave Chappelle Tom Shadyac the nutty professor
Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,hitch,Comedy Romance,Will Smith Michael Rapaport Kevin Sussman Andy Tennant hitch
Sam Weisman,Brendan Fraser,Abraham Benrubi,Holland Taylor,george of the jungle,Action Adventure Comedy Family Romance,Brendan Fraser Abraham Benrubi Holland Taylor Sam Weisman george of the jungle
Jesse Dylan,Alyson Hannigan,Thomas Ian Nicholas,Fred Willard,american wedding,Comedy Romance,Alyson Hannigan Thomas Ian Nicholas Fred Willard Jesse Dylan american wedding
Paul Greengrass,Tom Hanks,Chris Mulkey,Michael Chernus,captain phillips,Biography Drama Thriller,Tom Hanks Chris Mulkey Michael Chernus Paul Greengrass captain phillips
Shawn Levy,Mila Kunis,James Franco,Steve Carell,date night,Comedy Crime Romance Thriller,Mila Kunis James Franco Steve Carell Shawn Levy date night
Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,casper,Comedy Family Fantasy,Eric Idle Fred Rogers Cathy Moriarty Brad Silberling casper
Antoine Fuqua,Denzel Washington,Chloë Grace Moretz,James Wilcox,the equalizer,Action Crime Thriller,Denzel Washington Chloë Grace Moretz James Wilcox Antoine Fuqua the equalizer
Wayne Wang,Bob Hoskins,Frances Conroy,Natasha Richardson,maid in manhattan,Comedy Drama Romance,Bob Hoskins Frances Conroy Natasha Richardson Wayne Wang maid in manhattan
Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,crimson tide,Action Drama Thriller War,Denzel Washington Viggo Mortensen Ricky Schroder Tony Scott crimson tide
Gabriele Muccino,Will Smith,Kurt Fuller,James Karen,the pursuit of happyness,Biography Drama,Will Smith Kurt Fuller James Karen Gabriele Muccino the pursuit of happyness
Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,flightplan,Drama Mystery Thriller,Erika Christensen Michael Irby Haley Ramm Robert Schwentke flightplan
Barry Levinson,Demi Moore,Dylan Baker,Roma Maffia,disclosure,Drama Thriller,Demi Moore Dylan Baker Roma Maffia Barry Levinson disclosure
Brad Silberling,Nicolas Cage,Andre Braugher,Colm Feore,city of angels,Drama Fantasy Romance,Nicolas Cage Andre Braugher Colm Feore Brad Silberling city of angels
Quentin Tarantino,David Carradine,Vivica A. Fox,Chiaki Kuriyama,kill bill: vol. 1,Action,David Carradine Vivica A. Fox Chiaki Kuriyama Quentin Tarantino kill bill: vol. 1
Frank Oz,Robert Downey Jr.,Adam Alexi-Malle,Jamie Kennedy,bowfinger,Comedy,Robert Downey Jr. Adam Alexi-Malle Jamie Kennedy Frank Oz bowfinger
unknown,Christopher Judge,Don S. Davis,Gary Jones,stargate sg-1            ,Action Adventure Drama Sci-Fi,Christopher Judge Don S. Davis Gary Jones unknown stargate sg-1            
Quentin Tarantino,Vivica A. Fox,Michael Parks,Michael Bowen,kill bill: vol. 2,Action Crime Drama Thriller,Vivica A. Fox Michael Parks Michael Bowen Quentin Tarantino kill bill: vol. 2
Andrey Konchalovskiy,Sylvester Stallone,Jack Palance,Brion James,tango & cash,Action Comedy Crime Thriller,Sylvester Stallone Jack Palance Brion James Andrey Konchalovskiy tango & cash
Robert Zemeckis,Bruce Willis,Meryl Streep,Isabella Rossellini,death becomes her,Comedy Fantasy Horror,Bruce Willis Meryl Streep Isabella Rossellini Robert Zemeckis death becomes her
Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,shanghai noon,Action Adventure Comedy Western,Xander Berkeley Jason Connery Kate Luyben Tom Dey shanghai noon
Stuart Baird,Oliver Platt,Joe Morton,J.T. Walsh,executive decision,Action Adventure Thriller,Oliver Platt Joe Morton J.T. Walsh Stuart Baird executive decision
Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,mr. popper's penguins,Comedy Family Fantasy,Madeline Carroll Ophelia Lovibond Philip Baker Hall Mark Waters mr. popper's penguins
Rob Minkoff,Jet Li,Thomas McDonell,Michael Angarano,the forbidden kingdom,Action Adventure Fantasy,Jet Li Thomas McDonell Michael Angarano Rob Minkoff the forbidden kingdom
Jimmy Hayward,Amy Poehler,Carlos Ponce,Dan Fogler,free birds,Adventure Animation Comedy Family,Amy Poehler Carlos Ponce Dan Fogler Jimmy Hayward free birds
David Fincher,Charles S. Dutton,Holt McCallany,Paul McGann,alien 3,Action Horror Sci-Fi,Charles S. Dutton Holt McCallany Paul McGann David Fincher alien 3
Alan Parker,Andrea Corr,Jimmy Nail,Peter Polycarpou,evita,Biography Drama History Musical,Andrea Corr Jimmy Nail Peter Polycarpou Alan Parker evita
John Frankenheimer,Robert De Niro,Natascha McElhone,Michael Lonsdale,ronin,Action Adventure Crime Thriller,Robert De Niro Natascha McElhone Michael Lonsdale John Frankenheimer ronin
Stephen Hopkins,Tom Wilkinson,Bernard Hill,Om Puri,the ghost and the darkness,Adventure Drama Horror Thriller,Tom Wilkinson Bernard Hill Om Puri Stephen Hopkins the ghost and the darkness
Paul King,Julie Walters,Matt Lucas,Sally Hawkins,paddington,Animation Comedy Family Fantasy,Julie Walters Matt Lucas Sally Hawkins Paul King paddington
William Friedkin,Connie Nielsen,Jenna Boyd,Rex Linn,the hunted,Action Crime Drama Thriller,Connie Nielsen Jenna Boyd Rex Linn William Friedkin the hunted
Jon Turteltaub,Anthony Hopkins,Maura Tierney,John Ashton,instinct,Drama Thriller,Anthony Hopkins Maura Tierney John Ashton Jon Turteltaub instinct
Bobby Farrelly,Matt Damon,Terence Bernie Hines,Seymour Cassel,stuck on you,Comedy,Matt Damon Terence Bernie Hines Seymour Cassel Bobby Farrelly stuck on you
Kent Alterman,Will Ferrell,Maura Tierney,Matt Walsh,semi-pro,Comedy Sport,Will Ferrell Maura Tierney Matt Walsh Kent Alterman semi-pro
